id,title,year,poster,review,time
1,龙猫 - My Neighbor Totoro,1988,https://img9.doubanio.com/view/photo/l/public/p2540924496.webp,Toroto 最好了！,2024-01-04 23:42:54.567720
2,死亡诗社 - Dead Poets Society,1989,https://img1.doubanio.com/view/photo/m/public/p2575465690.webp,“金融，工程，建筑，计算，固然很重要，那是我们生存的条件；但诗歌，浪漫，爱，是我们生而为人的原因。”,2024-01-04 23:42:54.567720
3,完美的世界 - A Perfect World,1993,https://img1.doubanio.com/view/photo/m/public/p1562273940.webp,我只杀过两个人，一个伤害了我妈妈，一个伤害了你,2024-01-04 23:42:54.567720
4,这个杀手不太冷 - Leon,1994,https://img3.doubanio.com/view/photo/m/public/p2408302602.webp,i want love or die!,2024-01-04 23:42:54.567720
5,麻将 - Mahjong,1996,https://img9.doubanio.com/view/photo/m/public/p2873829595.webp,这个世界上没有人知道自己到底想要什么，他们就等着别人来告诉他们，所以，只要你用很诚恳的态度告诉他，他想要什么就对了。因为没有人愿意在失败的时候承认自己的错误，他们宁愿自己是上当被别人骗,2024-01-04 23:42:54.567720
6,燕尾蝶 - Swallowtail Butterfly,1996,https://img3.doubanio.com/view/photo/m/public/p2056451383.webp,总有一些人生活在我们的世界之外,2024-01-04 23:42:54.567720
7,喜剧之王 - King of Comedy,1999,https://img1.doubanio.com/view/photo/m/public/p2181431029.webp,其实我是一个演员，我养你啊！,2024-01-04 23:42:54.567720
8,鬼子来了 - Devils on the Doorstep,1999,https://img1.doubanio.com/view/photo/m/public/p2553104888.webp,中国农民是善良的，是好人。同时却也是愚笨的，是软弱的。软弱往往导致善良变质成为受欺。,2024-01-04 23:42:54.567720
9,爱乐之城 - La La Land,2016,https://img1.doubanio.com/view/photo/m/public/p2418676418.webp,看這部片會想起的那個人，一定是忘不了的,2024-01-04 23:44:20.816109
10,银翼杀手2049 - Blade Runner 2049,2017,https://img3.doubanio.com/view/photo/m/public/p2501633772.webp,cyberpunk2077!,2024-01-05 00:08:49.617310
11,漫长的季节 - The Long Season,2023,https://img9.doubanio.com/view/photo/m/public/p2890906384.webp,东北逐渐取代重庆成为悬疑类艺术的拍摄地，无论是白日焰火还是平原上的摩西，都只是把时代作为了大背景，辛爽不是，他想讲一个很大的故事，衰弱的东北，悲情的人物，年轻的爱情...而且他确实讲好了。“遥远的事物将被震碎，面前的人们此时尚不知情”。它写下岗，不写泼妇骂街，而写曾经的模范女工在风月场为儿子唱儿歌，“一闪一闪亮晶晶”；它写爱情，不写朝朝暮暮，写聋哑男孩一见钟情爱而不得，就连呐喊也是无声“——”；它写黄昏恋，不写追求挽留，写出租车上的告白和别离，“爱是想触碰但又收回手”；它写骚扰，不写房思琪式的隐忍，写手起刀落的反抗与逃亡，“向前看，别回头”。我赞美剧情，赞美演员 赞美音乐，像一首绝望的漫长的诗，在每一个观影者心上一刀一刀剜，每个动机都有迹可循，每个人物都有血有肉，一起唱响时代的挽歌。,2024-02-26 19:07:14.839886
